Date,Open,High,Low,Close,Volume,
1/7/2005,95.42,97.22,94.48,97.02,9666175,2973
1/10/2005,97.35,99.15,96.01,97.63,7554795,2972
1/11/2005,97.91,98.95,96.69,96.87,6962544,2971
1/12/2005,97.26,98.06,95.35,97.79,8361295,2970
1/13/2005,97.79,98.79,97.12,97.76,6852573,2969
1/14/2005,98.1,100.11,97.16,100.08,9643747,2968
1/18/2005,100.55,102.61,99.43,102.05,13237127,2967
1/19/2005,102.42,102.75,98.45,98.75,11351583,2966
1/20/2005,96.39,98.22,96.1,97.06,9003777,2965
1/21/2005,97.32,97.78,94.15,94.23,9294685,2964
1/24/2005,94.44,94.76,90.25,90.45,14034232,2963
1/25/2005,91.19,91.21,88.23,88.65,10696013,2962
1/26/2005,89.72,94.8,89.66,94.71,12345935,2961
1/27/2005,94.47,94.52,92.69,94.13,6631221,2960
1/28/2005,95.11,97.45,93.26,95.27,12212727,2959
1/31/2005,96.94,98.28,95.96,97.91,9600561,2958
2/1/2005,97.29,101.98,95.41,96.05,19153969,2957
2/2/2005,107.88,108.51,101.93,103.08,32874261,2956
2/3/2005,103.1,106.79,103.01,105.54,13005885,2955
2/4/2005,103.34,103.98,101.4,102.28,14823134,2954
2/7/2005,102.73,103.3,97.85,98.11,12981698,2953
2/8/2005,98.58,100.11,97.36,99.42,11493216,2952
2/9/2005,100.48,100.9,94.82,95.89,17310425,2951
2/10/2005,96.08,96.2,92.72,94.08,18986725,2950
2/11/2005,93.42,96.26,93.13,93.79,13126137,2949
2/14/2005,91.52,96.64,90.59,96.59,38576169,2948
2/15/2005,96.9,100.02,96.64,97.71,25857576,2947
2/16/2005,97.45,99.76,97.25,99.3,16653921,2946
2/17/2005,99.01,99.97,98.5,99.05,10426333,2945
2/18/2005,99.35,99.52,98.43,99.07,8507046,2944
2/22/2005,98.35,99.55,95.29,95.78,13506512,2943
2/23/2005,96.75,97.34,94.42,97.07,15650711,2942
2/24/2005,91.78,95.02,91.21,94.54,25837038,2941
2/25/2005,94.67,95.05,92.85,93.03,9983901,2940
2/28/2005,93.09,95.03,93.02,94.09,7824418,2939
3/1/2005,94.74,94.97,92.79,93.12,9431762,2938
3/2/2005,93.07,93.93,92.27,92.68,7325936,2937
3/3/2005,93.16,93.97,92.25,93.6,7612159,2936
3/4/2005,93.44,93.72,92.63,93.04,6778129,2935
3/7/2005,93.98,94.89,93.61,94.5,8710529,2934
3/8/2005,94.64,95.02,92.58,92.69,8046020,2933
3/9/2005,92.2,92.42,90.17,90.77,11375297,2932
3/10/2005,90.6,90.69,88.79,90.08,10964011,2931
3/11/2005,90.31,90.57,88.66,88.99,8030469,2930
3/14/2005,89.25,89.29,86.37,87.58,11146592,2929
3/15/2005,87.74,90.09,87.19,89.39,10444435,2928
3/16/2005,88.44,89.39,87.59,87.89,7151929,2927
3/17/2005,88.65,89.91,87.99,89.73,8261695,2926
3/18/2005,89.49,90.29,89.24,90.11,7153356,2925
3/21/2005,89.72,91.18,88.71,90.53,7483615,2924
3/22/2005,90.68,91.06,89.01,89.39,5649453,2923
3/23/2005,89.07,90.21,89.07,89.58,4857419,2922
3/24/2005,90.44,90.52,89.69,89.71,3727539,2921
3/28/2005,90.93,92.49,90.57,90.8,8748100,2920
3/29/2005,90.62,91.73,89.12,89.87,6478302,2919
3/30/2005,90.41,90.82,89.89,90.32,6260231,2918
3/31/2005,89.06,90.79,88.91,90.35,6770462,2917
4/1/2005,90.97,91.57,90.08,90.11,6196316,2916
4/4/2005,90.06,92.75,90.01,92.74,8078608,2915
4/5/2005,93.96,95.23,93.88,94.38,8750113,2914
4/6/2005,94.71,94.92,93.88,94.7,5278872,2913
4/7/2005,94.48,97.41,94.41,96.98,9694562,2912
4/8/2005,96.94,97.65,95.82,96.12,5116704,2911
4/11/2005,96.64,97.5,96.26,96.71,5411925,2910
4/12/2005,96.6,97.31,94.8,97.07,7322292,2909
4/13/2005,96.83,97.26,94.96,96.56,6558128,2908
4/14/2005,96.73,97.28,95.15,95.82,6162356,2907
4/15/2005,95.15,95.27,92.42,92.59,11584509,2906
4/18/2005,92.38,94.03,91.84,93.58,6553403,2905
4/19/2005,94.76,96.1,94.11,95.8,8560170,2904
4/20/2005,99.39,100.35,98.05,99.15,15469239,2903
4/21/2005,100.31,102.6,99.76,102.21,18683042,2902
4/22/2005,111.56,112.11,107.24,108.01,33222629,2901
4/25/2005,109.02,112.48,108.87,111.88,19861020,2900
4/26/2005,110.22,111.11,109.25,109.48,17285020,2899
4/27/2005,109.1,110.54,108.48,110,10317176,2898
4/28/2005,109.86,111.15,108.96,109.83,8691968,2897
4/29/2005,111.07,111.24,109.02,110.11,9183854,2896
5/2/2005,111.14,111.96,110.22,111.26,9778195,2895
5/3/2005,111.04,114.19,110.77,113.21,17797914,2894
5/4/2005,113.73,115.06,113.61,114.36,12173708,2893
5/5/2005,114.42,114.42,113.05,113.6,7516776,2892
5/6/2005,114.31,114.74,113.35,114.12,6770910,2891
5/9/2005,114.11,114.36,112.83,113.12,5538129,2890
5/10/2005,112.85,114.01,112.47,114.01,6348834,2889
5/11/2005,114.6,116.11,114.08,115.76,11479923,2888
5/12/2005,115.52,116.23,114.21,114.47,8957683,2887
5/13/2005,114.7,115.66,113.77,114.73,7416107,2886
5/16/2005,114.95,115.93,114.4,115.64,5767655,2885
5/17/2005,115.4,116.84,115.22,116.68,7808839,2884
5/18/2005,116.92,120.1,116.88,119.7,12316818,2883
5/19/2005,120.29,120.71,119.25,119.71,9719025,2882
5/20/2005,120.73,120.96,119.94,120.93,8175393,2881
5/23/2005,121.7,129.18,121.48,127.85,21444449,2880
5/24/2005,128.61,132.85,126.88,128.13,29121832,2879
5/25/2005,126.49,130.62,125.44,130.54,18157435,2878
5/26/2005,130.61,132.01,129.28,129.73,13554038,2877
5/27/2005,130.36,133.16,129.75,133.13,12190561,2876
5/31/2005,134.85,139.34,134.82,138.77,22277429,2875
6/1/2005,141.74,146.59,141.15,144.14,35253350,2874
6/2/2005,144.51,145.03,142.44,144.09,17984841,2873
6/3/2005,143.54,144.79,138.84,140.27,18815956,2872
6/6/2005,141.34,147.02,141.06,145.62,22599499,2871
6/7/2005,148.7,149.94,145.3,146.71,24340436,2870
6/8/2005,146.57,146.74,139.14,139.92,25822065,2869
6/9/2005,142.5,144.39,140.42,143.3,16457373,2868
6/10/2005,143.64,143.78,140.15,141.39,12721422,2867
6/13/2005,140.05,142.24,138.4,141.52,12819732,2866
6/14/2005,139.43,140.76,139.01,139.31,10127384,2865
6/15/2005,137.64,138.79,133.85,137.54,20943444,2864
6/16/2005,137.27,139.29,136.67,138.86,12469496,2863
6/17/2005,139.6,140.3,138.1,140.3,10445283,2862
6/20/2005,138.18,143.98,136,143.49,21051350,2861
6/21/2005,144.18,145.3,142.63,144.06,15153375,2860
6/22/2005,144.98,146.31,144.48,144.79,10557675,2859
6/23/2005,144.14,147.55,143.39,145,14083550,2858
6/24/2005,145.6,149.15,144.93,148.77,20177442,2857
6/27/2005,149.6,152.39,147.08,152.2,17883066,2856
6/28/2005,153.29,154.78,151.15,151.15,19082149,2855
6/29/2005,151.4,152.34,146.22,146.51,18320175,2854
6/30/2005,147.32,149.61,145.67,147.22,15103830,2853
7/1/2005,147.67,148.27,144.75,145.77,9234756,2852
7/5/2005,146.2,148.14,145.26,148,7498527,2851
7/6/2005,148.8,148.95,145.84,145.91,8037169,2850
7/7/2005,144.84,148.05,144.4,147.92,10684827,2849
7/8/2005,148.27,148.9,147.17,148.26,7459423,2848
7/11/2005,148.35,148.45,145.66,146.82,8414373,2847
7/12/2005,146.84,147.35,145.61,146.04,5872887,2846
7/13/2005,146.4,149.77,146.2,149.58,11460650,2845
7/14/2005,152.82,153.53,150.19,150.6,10696485,2844
7/15/2005,150.77,151.85,150.04,150.75,8459090,2843
7/18/2005,150.15,151.1,149.02,149.92,6226588,2842
7/19/2005,151.2,155.33,151.05,155.1,12774227,2841
7/20/2005,152.94,156.46,151.05,156.16,14365156,2840
7/21/2005,157.18,159.06,155.76,157.13,21291787,2839
7/22/2005,153.34,154.78,148.31,151.35,23448413,2838
7/25/2005,151.35,151.8,147.63,148.07,9660843,2837
7/26/2005,147.65,149.15,146.19,148.19,9839432,2836
7/27/2005,149.02,149.26,146.35,148.61,7369857,2835
7/28/2005,148.85,148.85,146.79,146.9,5930844,2834
7/29/2005,146.22,146.57,143.64,144.02,8374949,2833
8/1/2005,144.2,146.4,144.19,145.95,5668989,2832
8/2/2005,145.95,149.91,145.71,149.74,7301442,2831
8/3/2005,149.15,150.01,147.95,148.8,5939351,2830
8/4/2005,147.92,149.65,147.77,149.01,5318709,2829
8/5/2005,148.9,149.4,145.8,146.32,5954926,2828
8/8/2005,146.95,147.97,145.39,145.77,4488996,2827
8/9/2005,146.13,146.49,144.4,145.93,5783987,2826
8/10/2005,145.8,146.31,142.58,142.98,7003074,2825
8/11/2005,143.09,143.43,140.45,142.17,7517646,2824
8/12/2005,141.82,145.24,140.96,145,6594985,2823
8/15/2005,145.04,146.53,142.03,142.14,8177102,2822
8/16/2005,142.58,144.04,141.81,142.97,7114089,2821
8/17/2005,142.9,143.43,142.14,142.69,3894753,2820
8/18/2005,138.09,140.39,137.64,140.13,11945084,2819
8/19/2005,140.64,140.87,139.95,140.14,5612914,2818
8/22/2005,140.76,140.88,136.81,137.14,6881151,2817
8/23/2005,138.22,140.01,137.2,139.93,5846664,2816
8/24/2005,138.92,142.52,138.36,141.43,8596213,2815
8/25/2005,141.42,142.14,140.12,141.44,4377971,2814
8/26/2005,141.88,142.65,141.47,141.93,3756000,2813
8/29/2005,141.26,144.7,141.26,144.37,5907365,2812
8/30/2005,143.84,144.9,143.08,143.78,4792410,2811
8/31/2005,144.26,144.39,142.32,143.14,5036499,2810
9/1/2005,143.1,143.89,142.64,143.27,2742784,2809
9/2/2005,143.4,145.14,143.36,144.37,3435233,2808
9/6/2005,144.64,144.84,143.54,143.7,4214975,2807
9/7/2005,143.09,147.9,142.78,147.58,7501491,2806
9/8/2005,147.56,149.79,146.83,147.84,6614790,2805
9/9/2005,148.79,149.7,148.43,149.69,4468241,2804
9/12/2005,151.03,155.87,150.65,155.02,10392015,2803
9/13/2005,154.65,157.92,153.24,156,10307401,2802
9/14/2005,154.52,156.8,150.3,151.65,11286140,2801
9/15/2005,149.91,153.53,149.1,151.46,15472402,2800
9/16/2005,152.16,152.4,150.08,150.25,7582013,2799
9/19/2005,150.65,153.15,150.51,152.05,5763979,2798
9/20/2005,153.23,155.81,152.77,154.11,9405622,2797
9/21/2005,154.36,157.04,153.13,156.11,10127489,2796
9/22/2005,155.91,159.77,155.24,155.84,13010352,2795
9/23/2005,156.66,158.76,156.45,157.84,8486213,2794
9/26/2005,159.91,160.64,156.44,157.3,9896294,2793
9/27/2005,157.63,159.36,156.85,157.13,6876755,2792
9/28/2005,157.27,157.71,152.95,153.15,8001283,2791
9/29/2005,153.49,155.52,153.19,154.96,5616217,2790
9/30/2005,157.27,158.91,156.3,158.39,9171299,2789
10/3/2005,156.97,160.22,156.55,159.5,9164380,2788
10/4/2005,160.13,160.8,155.53,155.66,9145274,2787
10/5/2005,156.5,157.61,154.15,155.51,8330347,2786
10/6/2005,157.23,157.4,155.2,156.53,8031100,2785
10/7/2005,157.55,158.49,155.43,156.65,6770813,2784
10/10/2005,156.81,157.57,154.73,155.48,5573750,2783
10/11/2005,155.46,156.48,152.58,153.2,8555741,2782
10/12/2005,152.75,153.75,149.65,150.64,9308530,2781
10/13/2005,151.15,151.15,145.49,148.87,10567915,2780
10/14/2005,150.1,150.27,146.42,148.22,8520588,2779
10/17/2005,148.9,152.75,147.43,152.65,7570244,2778
10/18/2005,152.63,154.13,151.52,151.79,7083351,2777
10/19/2005,152.15,155.09,152.13,154.5,7014755,2776
10/20/2005,155.15,155.72,150.76,151.75,14281852,2775
10/21/2005,173.07,173.39,166.67,170.12,22897490,2774
10/24/2005,171.86,174.82,171.27,174.5,9462011,2773
10/25/2005,173.06,173.87,171.6,173.63,6902192,2772
10/26/2005,173.31,178.18,173.27,177.9,9237425,2771
10/27/2005,178.48,178.72,176.02,176.71,5152474,2770
10/28/2005,177.81,179.65,177.69,179.26,5988235,2769
10/31/2005,180.3,187.56,179.93,186.26,14349800,2768
11/1/2005,186.12,192.14,184.69,189.88,16370713,2767
11/2/2005,191.04,192.69,188.77,190.03,10687615,2766
11/3/2005,191.4,193.48,190.88,193.17,7448384,2765
11/4/2005,195.18,196.09,192.92,195.41,8824846,2764
11/7/2005,197.75,198.93,196.27,197.71,9591457,2763
11/8/2005,197.32,197.99,194.48,195.14,7897478,2762
11/9/2005,193.53,194.34,189.2,189.76,10473628,2761
11/10/2005,189.37,195.87,188.9,195.75,9128653,2760
11/11/2005,197.76,198.65,194.62,195.4,7063895,2759
11/14/2005,196.26,199.31,195.96,198.68,7807857,2758
11/15/2005,197.39,198.7,195.67,196.6,8627392,2757
11/16/2005,198.3,199.62,197.25,199.27,8719016,2756
11/17/2005,201.1,202.11,199.96,201.93,9219270,2755
11/18/2005,201.95,202.45,200.12,200.31,7025691,2754
11/21/2005,199.78,205.19,196.94,204.88,10335092,2753
11/22/2005,204.53,208.86,203.32,208.44,9600241,2752
11/23/2005,208.73,212.57,208.1,211.64,10084913,2751
11/25/2005,213.1,214.59,212.86,214.52,4840017,2750
11/28/2005,215.12,215.84,211.43,211.95,11008320,2749
11/29/2005,212.44,213.41,201.27,201.97,21495925,2748
11/30/2005,202.33,204.43,197.98,202.66,15596530,2747
12/1/2005,204.8,207.93,204.35,207.25,9744804,2746
12/2/2005,208.68,209.97,207.14,209.06,7543423,2745
12/5/2005,208.71,208.96,202.34,203.13,10294635,2744
12/6/2005,204.55,208.41,201.05,202.47,15125295,2743
12/7/2005,203.28,203.55,199.7,202.31,11665835,2742
12/8/2005,202.85,205.53,201.52,205.53,8910050,2741
12/9/2005,207.71,208.1,204.48,204.8,7666076,2740
12/12/2005,207.52,207.81,205.18,206.51,6950693,2739
12/13/2005,206.46,209.21,206.03,208.95,8163779,2738
12/14/2005,208.73,210.07,207.95,209.69,6630334,2737
12/15/2005,209.76,211.78,208.46,211.48,6045839,2736
12/16/2005,212.88,216.47,211.59,215.29,16330482,2735
12/19/2005,216.32,223.33,210.27,212.51,21942641,2734
12/20/2005,214.14,216.32,212.55,215.08,10084650,2733
12/21/2005,216.99,218.65,210.57,213.38,11221892,2732
12/22/2005,216.1,216.65,213.18,216.24,7550670,2731
12/23/2005,216.29,216.47,214.6,215.68,4595093,2730
12/27/2005,216.15,216.15,211.59,212.53,6705231,2729
12/28/2005,212.38,214.1,210.84,213.56,7119624,2728
12/29/2005,214.2,214.58,209.79,210.29,6949966,2727
12/30/2005,208.84,209.31,207.08,207.64,7587928,2726
1/3/2006,211.47,218.05,209.32,217.83,13137450,2725
1/4/2006,222.17,224.7,220.09,222.84,15292353,2724
1/5/2006,223.22,226,220.97,225.85,10815661,2723
1/6/2006,228.66,235.49,226.85,233.06,17759521,2722
1/9/2006,233.44,236.94,230.7,233.68,12795837,2721
1/10/2006,232.44,235.36,231.25,235.11,9104719,2720
1/11/2006,235.87,237.79,234.82,236.05,9008664,2719
1/12/2006,237.1,237.73,230.98,232.05,10125212,2718
1/13/2006,232.39,233.68,231.04,233.36,7660220,2717
1/17/2006,231.76,235.18,231.5,233.79,8335300,2716
1/18/2006,223.87,228.91,221.85,222.68,20511176,2715
1/19/2006,225.81,226.97,216.72,218.44,14539830,2714
1/20/2006,219.57,220.24,197.57,199.93,41182889,2713
1/23/2006,203.89,214.41,203.07,213.96,22768073,2712
1/24/2006,218.23,222.7,217.46,221.74,15468453,2711
1/25/2006,225.86,227.34,214.82,216.72,18746567,2710
1/26/2006,219.99,220.22,211.99,217.35,12931382,2709
1/27/2006,217.72,219.33,214.7,216.96,8459747,2708
1/30/2006,214.83,216.86,212.71,213.62,8596167,2707
1/31/2006,215.5,220.02,212.2,216.55,22449604,2706
2/1/2006,194.71,201.2,193.95,201.09,27132792,2705
2/2/2006,202.11,203.45,198.19,198.22,11810931,2704
2/3/2006,197.01,197.15,186.47,190.97,18286547,2703
2/6/2006,192.85,195.14,189.97,192.74,8948485,2702
2/7/2006,191.69,192.04,181.85,184.14,16640139,2701
2/8/2006,184.42,185.53,177.51,184.72,20818364,2700
2/9/2006,185.79,187.39,178.23,179.56,11913420,2699
2/10/2006,181.16,182.43,176.75,181.49,15223458,2698
2/13/2006,173.49,175.48,171.12,173.02,19724806,2697
2/14/2006,172.84,176.02,171.37,171.83,14658822,2696
2/15/2006,170.81,173.17,169.08,171.36,12950205,2695
2/16/2006,173.01,183.68,172.42,183.41,21346655,2694
2/17/2006,185.11,186.26,181.99,184.56,14320187,2693
2/21/2006,183.4,186.96,182.74,183.48,8690747,2692
2/22/2006,183.76,184.66,182.11,182.93,6480739,2691
2/23/2006,182.99,190.81,182.88,189.22,12555816,2690
2/24/2006,188.84,190.23,186.93,188.89,6486245,2689
2/27/2006,190.83,196.05,190.33,195.38,10218579,2688
2/28/2006,196.8,198.97,169.42,181.49,39446833,2687
3/1/2006,184.46,184.91,180.83,182.58,12065342,2686
3/2/2006,182.32,190.74,181.28,188.41,18340198,2685
3/3/2006,192.34,193.81,188.07,189.28,11965401,2684
3/6/2006,190.65,191.89,183.75,184.23,8944987,2683
3/7/2006,182.69,184.41,179.25,182.41,10458838,2682
3/8/2006,177.14,180.2,175.45,177.12,11789648,2681
3/9/2006,177.87,179.44,170.92,171.67,13930023,2680
3/10/2006,171.92,172.42,165.94,168.92,19335603,2679
3/13/2006,170.64,173.22,167.89,168.7,13647636,2678
3/14/2006,168.74,176.36,166.48,175.76,18462895,2677
3/15/2006,175.56,176.33,170.44,172.42,12772794,2676
3/16/2006,174.48,174.55,169.12,169.55,10021478,2675
3/17/2006,169.57,171.06,167.63,170.06,8558663,2674
3/20/2006,171.34,175.22,170.94,174.27,10415814,2673
3/21/2006,175.18,176.01,169.71,170.13,9858099,2672
3/22/2006,170.04,172.22,168.92,170.28,7600389,2671
3/23/2006,171.35,173.05,170.27,171.12,7784834,2670
3/24/2006,184.49,185.23,181.44,183.08,15182162,2669
3/27/2006,183.73,186.04,182.68,185.03,7026402,2668
3/28/2006,186.04,189.12,185.77,188.79,8952532,2667
3/29/2006,190.16,199.7,189.94,197.69,19345086,2666
3/30/2006,194.79,196.95,192,194.41,14723626,2665
3/31/2006,194.56,196.13,192.21,195.19,36514857,2664
4/3/2006,194.96,196.43,194.16,195.04,8129930,2663
4/4/2006,195.14,202.65,194.26,202.37,15725137,2662
4/5/2006,204.31,207.49,201.61,204.2,13454976,2661
4/6/2006,203.45,207.15,202.92,205.8,8599983,2660
4/7/2006,206.41,206.63,202.21,203.28,7027980,2659
4/10/2006,203.74,208.79,202.83,208.4,9325308,2658
4/11/2006,208.42,209.76,203.31,205.03,11112419,2657
4/12/2006,204.7,205.87,202.8,204.68,6021169,2656
4/13/2006,204.52,205.08,200.45,201.28,6554861,2655
4/17/2006,201.93,206.46,200.62,203.61,8261422,2654
4/18/2006,204.17,205.12,200.95,202.32,8154780,2653
4/19/2006,206.49,207.03,203.57,205.46,6786151,2652
4/20/2006,205.71,208.21,204.3,207.71,12458412,2651
4/21/2006,224.67,225.59,218.3,218.77,22559250,2650
4/24/2006,219.92,222.57,218.48,220.47,8840100,2649
4/25/2006,220.03,220.74,213.21,213.79,9569567,2648
4/26/2006,214.08,215.24,211.98,213.2,7282287,2647
4/27/2006,211.67,213.67,209.9,210.23,8359256,2646
4/28/2006,209.52,213.08,208.36,209.18,7425666,2645
5/1/2006,209.44,209.93,199.47,199.65,10367637,2644
5/2/2006,200.74,201.45,194.39,197.6,13108333,2643
5/3/2006,198.37,200.95,195.64,197.28,8075850,2642
5/4/2006,197.71,199.63,196.3,197.57,4653255,2641
5/5/2006,199,200.54,196.09,197.35,6069528,2640
5/8/2006,197.75,198.76,195.22,197.59,5129461,2639
5/9/2006,198.04,204.7,197.07,204.6,9143664,2638
5/10/2006,204.36,206.06,201.13,201.69,6211308,2637
5/11/2006,201.91,202.56,192.68,193.69,8898884,2636
5/12/2006,191.96,192.63,186.96,187.25,10156524,2635
5/15/2006,188.15,190.27,184.31,188.29,8594484,2634
5/16/2006,188.18,188.62,185.13,185.84,5317198,2633
5/17/2006,185.49,190.11,185.3,187.44,10664908,2632
5/18/2006,189.58,191.1,185.54,185.68,5835892,2631
5/19/2006,186.83,187.44,180.47,185.2,11399560,2630
5/22/2006,184.11,186.7,182.81,185.66,8605568,2629
5/23/2006,187.29,192.13,186.97,187.98,8985421,2628
5/24/2006,188.86,191.91,185.99,190.82,9556510,2627
5/25/2006,189.73,191.69,186.34,191.69,8198046,2626
5/26/2006,192.47,193.13,190.21,190.87,3667717,2625
5/30/2006,189.33,190.69,185.91,186.16,4315930,2624
5/31/2006,187.09,189.31,183.57,186.1,7982732,2623
6/1/2006,186.96,191.69,185.99,191.5,6280223,2622
6/2/2006,192.92,193.73,188.91,189.91,6386442,2621
6/5/2006,188.28,190.92,187.26,187.41,5559992,2620
6/6/2006,188.48,195.2,188.34,195.19,10263036,2619
6/7/2006,196.82,197.63,193.44,193.45,8912579,2618
6/8/2006,194.07,197.33,189.48,196.85,10360552,2617
6/9/2006,196.29,197.91,192.87,193.48,6159365,2616
6/12/2006,194.36,195.44,190.69,190.96,5021083,2615
6/13/2006,190.64,193.69,189.25,193.46,7662124,2614
6/14/2006,195.11,195.75,189.45,192.39,7773360,2613
6/15/2006,193.5,196.32,191.69,195.7,6788401,2612
6/16/2006,194.74,195.66,194.19,195.55,5306979,2611
6/19/2006,195.62,197.6,193.68,194.26,7634692,2610
6/20/2006,194.21,196.13,193.45,193.78,4045219,2609
6/21/2006,195.73,202.2,195.07,201.27,8745047,2608
6/22/2006,200.99,203.2,194.19,200.17,6008179,2607
6/23/2006,201.58,205.08,200.57,202.63,5314766,2606
